"Stream Name","Site Name","UTC(yyyy/MM/dd HH:mm:ss)","Local(yyyy/MM/dd HH:mm:ss)","Sample Value","Local Time Zone Name"
"Level","A07_M2-9","2024/06/23 15:08:00","2024/06/24 00:08:00","21.9","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 15:18:00","2024/06/24 00:18:00","20.2","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 15:28:00","2024/06/24 00:28:00","20.5","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 15:38:00","2024/06/24 00:38:00","19.2","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 15:48:00","2024/06/24 00:48:00","18.2","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 15:58:00","2024/06/24 00:58:00","17.7","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 16:08:00","2024/06/24 01:08:00","17.4","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 16:18:00","2024/06/24 01:18:00","16.4","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 16:28:00","2024/06/24 01:28:00","15.8","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 16:38:00","2024/06/24 01:38:00","15.0","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 16:48:00","2024/06/24 01:48:00","14.1","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 16:58:00","2024/06/24 01:58:00","13.3","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 17:08:00","2024/06/24 02:08:00","13.5","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 17:18:00","2024/06/24 02:18:00","13.0","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 17:28:00","2024/06/24 02:28:00","12.8","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 17:38:00","2024/06/24 02:38:00","11.8","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 17:48:00","2024/06/24 02:48:00","12.0","Asia/Seoul"
"Level","A07_M2-9","2024/06/23 17:58:00","2024/06/24 02:58:00","11.8","Asia/Seoul"
